DatasetAcronym,AttributeName, InstanceName,AggregationStatisticCV,IntervalTimeUnitCV,UnitNameCV,WaterOrCalendarYear,YearMonth, CountDays,CalenderYear,CumulativeMonthly
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1957","1",,"3515"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1958","1",,"1206"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1959","1",,"956"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1960","1",,"659"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1961","1",,"344"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1962","1",,"47"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1963","1",,"301"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1964","1",,"86"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1965","1",,"171"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1966","1",,"467"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1967","1",,"369"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1968","1",,"421"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1969","1",,"417"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1970","1",,"272"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1971","1",,"28"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1972","1",,"639"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1973","1",,"531"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1974","1",,"537"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1975","1",,"608"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1976","1",,"407"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1977","1",,"444"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1978","1",,"404"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1979","1",,"375"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1980","1",,"2720"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1981","1",,"1121"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1982","1",,"916"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1983","1",,"241"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1984","1",,"566"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1985","1",,"354"
"UDWRFlowData","Storage/delivered volume","10046500.MONBEAR RIVER BL STEWART DAM NR MONTPELIER IDAHO","Cumulative","month","acre foot","WaterYear","10/1986","1",,"437"
